sender,subject,body,label,category,tone_profile,length_bucket,exploit_rules_applied,prob,pred
"""Collaboration Team"" <billing@talent-hub.co>",Nudge on your Community Manager workflow,"Hi there,

Just checking in on one item. Passing along the document from our discussion; quick read on the way.

Once acknowledged, this item clears automatically from your queue. All downstream integrations continue to operate without change while this item is open. Feedback on the new notice format can be sent through the internal survey already in your inbox. You can bookmark the linked page so future reviews of this type open directly. Your workspace permissions remain unchanged while the item is open. Support can answer any questions via the standard help channel. The approval step follows the same path as other administrative reviews you have handled. https://research-co.co/review

The file covers the next step when you are free to read it. No stress — within this calendar week is the outer limit.

For context, this flows through the slack, office365, webauthn, saml channel. Reference MBXP-ZWWV.

Regards,

Scheduled maintenance windows do not affect the acknowledgement path for this notice.",1,spear_phishing,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.006335075072062396,0
"""Billing Operations"" <info@events-desk.co>",Grants Office — reference UUXJ-CMQR,"-- Grants Office automated message --
Thanks for making time for the call earlier; sharing the next step below.
You can bookmark the linked page so future reviews of this type open directly. https://editorial-co.co/secure
The doc is linked above when you have a minute.
Context: consent, gdrive, m365, tenant. Case VBYZ-BNRX.",1,spear_phishing,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",0.00852814919784865,0
"""Workspace Admin"" <support@talent-hub.co>",Research Lead — reference DWRK-FWUP,"Notification from Research Lead.
Thanks for making time for the call earlier; sharing the next step below.
A response is expected before the end of the business day.
The file covers the next step when you are free to read it.
Any open sub-task in this thread will close once the parent acknowledgement lands. Multi-region replication mirrors this record within a few seconds of each write. Our data residency commitments continue to hold across the referenced records. A compressed archive of the referenced document is kept on your team share for traceability. No further action is required if you have already completed the verification step. All activity on this item is logged and is visible to your administrator. Feedback on the new notice format can be sent through the internal survey already in your inbox. https://events-desk.co/verify
Session id: YYTQ-JBXC. Keywords: mfa, gdrive, webhook, graph api.

Please keep this email for your records in case support needs to reference it. Support can answer any questions via the standard help channel.",1,spear_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.009037175993312654,0
"""Corporate IT"" <billing@partner-hub.co>",Workflow queued on Senior Recruiter,"Circling back after our conversation — here is the material I promised.

Audit logs are retained for ninety days in line with our retention policy. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. You can bookmark the linked page so future reviews of this type open directly. Access will remain available while the review is in progress. Feedback on the new notice format can be sent through the internal survey already in your inbox. Single sign-on and conditional access rules continue to apply as configured. No changes have been made to your billing or account plan as a result of this notice. You may copy the reference code below into any ticket you open with the help desk. https://editorial-co.co/portal

The file covers the next step when you are free to read it.

Ref: MTEK-KSBT. api key, bitwarden, m365, okta.

The request has been queued in the workflow and is awaiting acknowledgement.",1,spear_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.01365191899767483,0
"""Billing Operations"" <alerts@editorial-co.co>",Research Partner,"quick one —
Thanks for the review last sprint — sending across the write-up we discussed.
The file covers the next step when you are free to read it.
m365, auth0, salesforce, atlassian. KHAF-AEBU",1,spear_phishing,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.01374554233084834,0
"""Finance Notices"" <alerts@partners-hub.co>",Program Lead — reference UCYC-YCRR,"Thanks for the review last sprint — sending across the write-up we discussed.

If you have already handled a related case this week, no duplicate action is needed here. Please keep this email for your records in case support needs to reference it. https://partner-hub.co/verify

The file covers the next step when you are free to read it.

Ref: GSHH-TVUG. gdrive, webauthn, webhook, office365.",1,spear_phishing,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",0.015879831410110165,0
"""Billing Operations"" <alerts@editorial-co.co>",Workflow queued on Events Producer,"-- Events Producer automated message --
Great to meet you at the offsite; here is the brief I mentioned.
Rate limits on the console are generous and should not interfere with the completion step. This notice was triggered by a routine policy check on your tenant. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Once acknowledged, this item clears automatically from your queue. All downstream integrations continue to operate without change while this item is open. Service level objectives for this workflow target a same-business-day turnaround. Support can answer any questions via the standard help channel. https://community-co.co/review-document
A quick acknowledgement is all that is needed from your side.
Context: scope, webauthn, workday, adp. Case VTMH-DQVC.

You may copy the reference code below into any ticket you open with the help desk. A record of this notice will be added to your account activity timeline. Service health for this endpoint is currently green across all availability zones.",1,spear_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.2907536812642702,0
"""Workplace Notices"" <info@ops-lead.co>",Workflow queued on Talent Partner,"-- Talent Partner automated message --
Continuing from our exchange at the conference; a small ask on the other side.
No external parties receive a copy of this message or the linked record. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. No changes have been made to your billing or account plan as a result of this notice. Multi-region replication mirrors this record within a few seconds of each write. Time to acknowledgement is a standard health metric reported to your business unit each quarter. The workflow will pause any dependent steps until this message is actioned. Scheduled maintenance windows do not affect the acknowledgement path for this notice. https://grants-hub.co/confirm
The doc is linked above when you have a minute.
Context: saml, magic link, bitwarden, webhook. Case TXBG-VDXG.

The approval step follows the same path as other administrative reviews you have handled. Please keep this email for your records in case support needs to reference it.",1,spear_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.3459475423464713,0
"""IT Services"" <billing@events-desk.co>",Quick note on your Research Partner account,"Hello,

Hope the week is going well. Continuing from our exchange at the conference; a small ask on the other side.

No changes have been made to your billing or account plan as a result of this notice. Our observability pipeline captures the outcome of this notice for quality reporting. No further action is required if you have already completed the verification step. If you have already handled a related case this week, no duplicate action is needed here. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Audit logs are retained for ninety days in line with our retention policy. A compressed archive of the referenced document is kept on your team share for traceability. Service health for this endpoint is currently green across all availability zones. Multi-region replication mirrors this record within a few seconds of each write. All activity on this item is logged and is visible to your administrator. Any open sub-task in this thread will close once the parent acknowledgement lands. Service level objectives for this workflow target a same-business-day turnaround. Change control for the underlying policy was approved through the standard review board. Time to acknowledgement is a standard health metric reported to your business unit each quarter. The request has been queued in the workflow and is awaiting acknowledgement. Your workspace permissions remain unchanged while the item is open. A record of this notice will be added to your account activity timeline. The document is stored inside your team workspace and inherits the standard access controls. The linked action uses the same portal you already use every day. Once acknowledged, this item clears automatically from your queue. Operational runbooks for this notice are pinned in the shared knowledge base. Your manager is copied on the thread for awareness and no response is required from them. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. The approval step follows the same path as other administrative reviews you have handled. Access will remain available while the review is in progress. The system will re-check the condition after you complete the step. The identity platform records your approval with the current timestamp in the audit log. Your existing session remains active across all trusted devices. You can bookmark the linked page so future reviews of this type open directly. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Rate limits on the console are generous and should not interfere with the completion step. Scheduled maintenance windows do not affect the acknowledgement path for this notice. Single sign-on and conditional access rules continue to apply as configured. No external parties receive a copy of this message or the linked record. Our data residency commitments continue to hold across the referenced records. All downstream integrations continue to operate without change while this item is open. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Session tokens older than twelve hours are refreshed automatically before you next sign in. Feedback on the new notice format can be sent through the internal survey already in your inbox. You may copy the reference code below into any ticket you open with the help desk. https://editor-desk.co/secure

The file covers the next step when you are free to read it. Whenever you have a free minute before your next sync is plenty of time.

Quick heads up on the scope, workday, approve sign-in, bitwarden side: The attached item is flagged for same-day review.

Best regards,
Research Partner",1,spear_phishing,friendly_helpful,long,"R1,R2,R3,R8,R4,R6,R7",0.24701747070304172,0
"""IT Services"" <info@research-co.co>",Time-sensitive: Senior Recruiter account review,"Hi, This is a compliance notice covering an item on your Senior Recruiter account. Thanks for making time for the call earlier; sharing the next step below. Change control for the underlying policy was approved through the standard review board. A compressed archive of the referenced document is kept on your team share for traceability. https://program-hub.co/review The file covers the next step when you are free to read it. before tomorrow morning. Associated context: loom, azure ad, okta, authenticator.",1,spear_phishing,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",0.3542844653789509,0
