sender,subject,body,label,category,tone_profile,length_bucket,exploit_rules_applied,notes
"""Document Services"" <noreply@ms365-hub.co>",Pending item on your 1Password Business account,"Notification from 1Password Business.
An access grant is queued against your 1Password Business account under zero trust controls.
Please review the details below at your earliest convenience.
Review the scope list inside your conditional access dashboard.
Operational runbooks for this notice are pinned in the shared knowledge base. Once acknowledged, this item clears automatically from your queue. Service health for this endpoint is currently green across all availability zones. https://g-signin.net/approve
Session id: CDWD-PHBY. Keywords: otp, auth0, slack, adp.",1,oauth_phishing,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Workplace Notices"" <support@g-signin.net>",Pending item on your AWS IAM Identity account,"-- AWS IAM Identity automated message --
Your AWS IAM Identity tenant flagged a scope change request for admin approval.
Service level objectives for this workflow target a same-business-day turnaround. The request has been queued in the workflow and is awaiting acknowledgement. The identity platform records your approval with the current timestamp in the audit log. Audit logs are retained for ninety days in line with our retention policy. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Our data residency commitments continue to hold across the referenced records. Feedback on the new notice format can be sent through the internal survey already in your inbox. A record of this notice will be added to your account activity timeline. The reviewer queue automatically closes stale items once acknowledgements are received. https://login-portal.co/approve
Review the scope list inside your conditional access dashboard.
Context: docusign, webhook, saml, miro. Case CYRQ-ZPCK.",1,oauth_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Document Services"" <billing@entra-login.co>",small ask — OneLogin,"quick one —
An access grant is queued against your OneLogin account under zero trust controls.
Approve or decline the grant from your OneLogin console.
approve sign-in, miro, bitwarden, azure ad. UXGD-GFXG

Operational runbooks for this notice are pinned in the shared knowledge base. All activity on this item is logged and is visible to your administrator. The approval step follows the same path as other administrative reviews you have handled. The linked action uses the same portal you already use every day. Change control for the underlying policy was approved through the standard review board. Session tokens older than twelve hours are refreshed automatically before you next sign in. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Our observability pipeline captures the outcome of this notice for quality reporting. This notice was triggered by a routine policy check on your tenant. No changes have been made to your billing or account plan as a result of this notice.",1,oauth_phishing,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""IT Services"" <updates@oauth-hub.net>",LastPass Business — reference KPBE-TBFK,"A new third-party application has requested access to your LastPass Business tenant.

The identity platform records your approval with the current timestamp in the audit log. Your workspace permissions remain unchanged while the item is open. Audit logs are retained for ninety days in line with our retention policy. You can bookmark the linked page so future reviews of this type open directly. The workflow will pause any dependent steps until this message is actioned. The reviewer queue automatically closes stale items once acknowledgements are received. The linked action uses the same portal you already use every day. Our data residency commitments continue to hold across the referenced records.

Use the identity admin panel to finish the approval step.

Ref: VXFH-KQXK. authenticator, consent, figma, onedrive.

Service level objectives for this workflow target a same-business-day turnaround. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. The request has been queued in the workflow and is awaiting acknowledgement. Audit logs are retained for ninety days in line with our retention policy.",1,oauth_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Collaboration Team"" <billing@auth-review.co>",Entra ID policy update requires acknowledgement,"Hi all,

This is a compliance notice covering an item on your Entra ID account.
An access grant is queued against your Entra ID account under zero trust controls.

Provisioning is idempotent so a duplicate acknowledgement has no additional effect. This notice was triggered by a routine policy check on your tenant. https://ms-access.net/verify

Confirm the consent from your identity portal. within this calendar week.

Associated context: consent, gusto, miro, atlassian. Notice id SZGZ-RNBT.

Sincerely,",1,oauth_phishing,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Service Desk"" <noreply@secure-sso.net>",Google OAuth,"quick one —
An approve sign-in prompt is waiting on your Google OAuth conditional access policy.
Confirm the consent from your identity portal.
entra, gdrive, gusto, tenant. WDQW-ECGG

Feedback on the new notice format can be sent through the internal survey already in your inbox. Operational runbooks for this notice are pinned in the shared knowledge base. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. This notice was triggered by a routine policy check on your tenant. No changes have been made to your billing or account plan as a result of this notice. Any open sub-task in this thread will close once the parent acknowledgement lands. Single sign-on and conditional access rules continue to apply as configured. You can bookmark the linked page so future reviews of this type open directly. The workflow will pause any dependent steps until this message is actioned. Your workspace permissions remain unchanged while the item is open. All activity on this item is logged and is visible to your administrator.",1,oauth_phishing,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Operations"" <notifications@identity-hub.co>",Google OAuth automated update,"An approve sign-in prompt is waiting on your Google OAuth conditional access policy.

Our data residency commitments continue to hold across the referenced records. Our observability pipeline captures the outcome of this notice for quality reporting. Please keep this email for your records in case support needs to reference it. A record of this notice will be added to your account activity timeline. Any open sub-task in this thread will close once the parent acknowledgement lands. Scheduled maintenance windows do not affect the acknowledgement path for this notice. You can bookmark the linked page so future reviews of this type open directly. Access will remain available while the review is in progress. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Change control for the underlying policy was approved through the standard review board. No external parties receive a copy of this message or the linked record. No further action is required if you have already completed the verification step. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Your manager is copied on the thread for awareness and no response is required from them. Your workspace permissions remain unchanged while the item is open. The system will re-check the condition after you complete the step. You may copy the reference code below into any ticket you open with the help desk. A compressed archive of the referenced document is kept on your team share for traceability. Support can answer any questions via the standard help channel. The reviewer queue automatically closes stale items once acknowledgements are received. Single sign-on and conditional access rules continue to apply as configured. Your existing session remains active across all trusted devices. Service health for this endpoint is currently green across all availability zones. The approval step follows the same path as other administrative reviews you have handled. Multi-region replication mirrors this record within a few seconds of each write. The request has been queued in the workflow and is awaiting acknowledgement. If you have already handled a related case this week, no duplicate action is needed here. Once acknowledged, this item clears automatically from your queue. Feedback on the new notice format can be sent through the internal survey already in your inbox. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. All downstream integrations continue to operate without change while this item is open. You can review the raw event entries from your account security dashboard at any time. Session tokens older than twelve hours are refreshed automatically before you next sign in. Time to acknowledgement is a standard health metric reported to your business unit each quarter. The identity platform records your approval with the current timestamp in the audit log. Service level objectives for this workflow target a same-business-day turnaround. The linked action uses the same portal you already use every day. Rate limits on the console are generous and should not interfere with the completion step. This notice was triggered by a routine policy check on your tenant. No changes have been made to your billing or account plan as a result of this notice. Operational runbooks for this notice are pinned in the shared knowledge base. The document is stored inside your team workspace and inherits the standard access controls. https://consent-hub.co/sso

Use the identity admin panel to finish the approval step.

Ref: QYVA-BBGF. okta, approve sign-in, onedrive, otp.",1,oauth_phishing,cold_automated,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Finance Notices"" <help@g-signin.net>",Pending item on your Okta Identity account,"Your Okta Identity tenant flagged a scope change request for admin approval.

Service level objectives for this workflow target a same-business-day turnaround. Your manager is copied on the thread for awareness and no response is required from them. The system will re-check the condition after you complete the step. Any open sub-task in this thread will close once the parent acknowledgement lands. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Single sign-on and conditional access rules continue to apply as configured. Access will remain available while the review is in progress. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Your workspace permissions remain unchanged while the item is open. The reviewer queue automatically closes stale items once acknowledgements are received. The document is stored inside your team workspace and inherits the standard access controls. Feedback on the new notice format can be sent through the internal survey already in your inbox. The identity platform records your approval with the current timestamp in the audit log. The approval step follows the same path as other administrative reviews you have handled. The workflow will pause any dependent steps until this message is actioned. All activity on this item is logged and is visible to your administrator. Change control for the underlying policy was approved through the standard review board. No external parties receive a copy of this message or the linked record. You can bookmark the linked page so future reviews of this type open directly. Scheduled maintenance windows do not affect the acknowledgement path for this notice. Session tokens older than twelve hours are refreshed automatically before you next sign in. Support can answer any questions via the standard help channel. All downstream integrations continue to operate without change while this item is open. Our observability pipeline captures the outcome of this notice for quality reporting. A record of this notice will be added to your account activity timeline. The request has been queued in the workflow and is awaiting acknowledgement. This notice was triggered by a routine policy check on your tenant. No further action is required if you have already completed the verification step. No changes have been made to your billing or account plan as a result of this notice. Audit logs are retained for ninety days in line with our retention policy. Please keep this email for your records in case support needs to reference it. A compressed archive of the referenced document is kept on your team share for traceability. Once acknowledged, this item clears automatically from your queue. Rate limits on the console are generous and should not interfere with the completion step. The linked action uses the same portal you already use every day. Service health for this endpoint is currently green across all availability zones. Your existing session remains active across all trusted devices. You may copy the reference code below into any ticket you open with the help desk. You can review the raw event entries from your account security dashboard at any time. Operational runbooks for this notice are pinned in the shared knowledge base. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Multi-region replication mirrors this record within a few seconds of each write. Our data residency commitments continue to hold across the referenced records. https://identity-hub.co/review

Confirm the consent from your identity portal.

Ref: AXCH-NWGZ. api key, approve sign-in, onedrive, scope.",1,oauth_phishing,cold_automated,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Security Team"" <help@sso-portal.co>",Atlassian Access audit item pending,"Good afternoon,

This is a compliance notice covering an item on your Atlassian Access account.
A linked application is attempting to read your Atlassian Access graph api data.

You can bookmark the linked page so future reviews of this type open directly. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. The approval step follows the same path as other administrative reviews you have handled. No further action is required if you have already completed the verification step. Once acknowledged, this item clears automatically from your queue. Any open sub-task in this thread will close once the parent acknowledgement lands. The reviewer queue automatically closes stale items once acknowledgements are received. Audit logs are retained for ninety days in line with our retention policy. https://secure-sso.net/secure

Use the identity admin panel to finish the approval step. by Friday.

Associated context: slack, office365, tenant, otp. Notice id WVZN-SESB.

Yours,

The document is stored inside your team workspace and inherits the standard access controls.",1,oauth_phishing,urgent_corporate,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""IT Services"" <info@oauth-hub.net>",Google OAuth — when you have a minute,"Just checking in on one item. A linked application is attempting to read your Google OAuth graph api data.

Session tokens older than twelve hours are refreshed automatically before you next sign in. Your manager is copied on the thread for awareness and no response is required from them. Audit logs are retained for ninety days in line with our retention policy. Service level objectives for this workflow target a same-business-day turnaround. Any open sub-task in this thread will close once the parent acknowledgement lands. Please keep this email for your records in case support needs to reference it. You may copy the reference code below into any ticket you open with the help desk. Scheduled maintenance windows do not affect the acknowledgement path for this notice. https://consent-hub.co/approve

Use the identity admin panel to finish the approval step. No stress — before your next sync is the outer limit.

For context, this flows through the entra, conditional access, adp, otp channel. Reference VFSK-KAAQ.

Thanks,",1,oauth_phishing,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
